UNOME,QTDE
GAZALLE,1
BELLE,2
FONTENELLE,5
FONTINELLE,1
MARTINELLE,1
SELLE,1
COLLE,1
SPOLLE,1
NICOLE,1
CAMPANHOLE,1
SOLE,1
SEMPLE,1
PETTERLE,1
WERLE,2
KURRLE,1
BURLE,1
BRAULE,1
BULE,1
YULE,1
CARLYLE,1
ADAME,1
VELLAME,1
NAME,1
BELTRAME,3
LEME,6
SALEME,1
SELEME,1
NEME,1
NEHME,1
JAIME,3
RIQUELME,1
LEMME,1
GANME,1
JACOME,3
DADOME,1
THOME,2
TOME,7
GUILHERME,10
FIRME,4
DEFORME,1
COSME,4
GUALIUME,1
BLUME,1
JAYME,1
VIVIANE,1
TAMANE,1
BADARANE,1
PRANE,1
DALEPRANE,1
SOPRANE,1
RICCOBENE,1
BIENE,1
TIENE,1
IRENE,1
SENE,2
SANCHOTENE,1
VAINE,1
CASCINE,1
GUEDINE,1
GERALDINE,1
SURDINE,1
KLEINE,1
HENEINE,1
SORGINE,1
CHAHINE,1
CONSOLINE,1
MINE,1
NAGAMINE,1
YONAMINE,1
SOROMINE,1
CARMINE,1
INTROINE,1
VENTURINE,1
YASSINE,1
ZERLOTINE,1
MAQUINE,1
CABANNE,1
JENNE,1
KENNE,1
DERENNE,1
SENNE,1
DEBONE,1
TUBONE,1
FALCONE,1
LOURENCONE,1
DONE,1
ODONE,1
LEONE,2
MONTALEONE,1
COLLEONE,1
BATALHONE,1
PUSTIGLIONE,1
COMPULSIONE,1
STANZIONE,1
SALONE,2
GRADILONE,1
MAMONE,1
SIMONE,1
CAPONE,2
BARONE,2
ACQUARONE,1
MINGRONE,1
CHARRONE,1
PERRONE,1
BOSSONE,1
SCAVONE,1
ALVERNE,1
CIRNE,3
HEGENDORNE,1
THORNE,1
CISNE,2
CYSNE,1
NOE,2
MONROE,1
ALTOE,5
PRINCEPE,1
PEPE,2
FELIPE,19
GOTELIPE,2
ARARIPE,1
CALDERIPE,1
GRIPE,1
VOLPE,2
COPE,1
JAPPE,1
ZAPPE,1
FELIPPE,5
DEFELIPPE,1
HOPPE,1
THORPE,2
AYUPE,1
RE,2
OLEARE,1
CALEGARE,1
MILARE,1
CARBONARE,1
ETCHEPARE,1
FRARE,1
NAZARE,2
FABRE,1
LEBRE,1
BALSALOBRE,1
NOBRE,31
SICRE,1
KADRE,1
PADRE,1
ANDRE,7
ALEXANDRE,23
SODRE,17
SUDRE,2
BAICERE,1
PATRINIERE,1
LABOISSIERE,2
STALLIVIERE,1
LAMAZIERE,1
LAROVERE,1
DALFRE,1
ONOFRE,3
MILAGRE,1
VINAGRE,3
CHALEGRE,1
TIGRE,1
DONAIRE,1
PAIRE,1
ZAIRE,2
BEIRE,1
FREIRE,96
RIVOIRE,1
MARTIRE,1
MONTEMAGGIORE,1
MORE,1
AMORE,1
MOORE,1
PASTORE,2
VETTORE,2
DARRE,1
CAZARRE,1
SCHERRE,1
UMPIERRE,1
GUTIERRE,1
ESQUERRE,2
AGUIRRE,2
TORRE,1
MITRE,1
LANCASTRE,1
DELMESTRE,1
SILVESTRE,7
SYLVESTRE,2
LUSTRE,1
CALIXTRE,1
DURE,1
TANURE,3
TANNURE,1
MOURE,1
LEFEVRE,1
COVRE,1
COUVRE,1
PASE,1
UPASE,1
KAWASE,1
MOKDSE,1
MARCHESE,2
PUGLIESE,2
WIESE,2
MARCILESE,1
DANESE,2
DAGNESE,1
COLONESE,1
CIVITARESE,1
BONITESE,1
REHSE,1
GOVEDISE,1
KISE,1
BRANDALISE,1
SENISE,1
ALOISE,1
BLOISE,1
IMPROISE,2
PARISE,1
PARAENSE,1
BAHIENSE,1
PIAUIENSE,1
PELLENSE,1
TEIXEIRENSE,1
BARRENSE,1
JOSE,14
NOSE,1
POSE,1
ROSE,1
ERSE,3
CHASSE,1
LASSE,1
BERTOLASSE,1
SASSE,1
BAESSE,1
