PNOME,QTDE,PERC
WANDERSON,216,0.0335
APARECIDA,214,0.0332
TARCISIO,214,0.0332
MARY,212,0.0328
IVO,212,0.0328
AFONSO,212,0.0328
ROSEMARY,211,0.0327
MAX,210,0.0325
JUAN,210,0.0325
GABRIELLA,209,0.0324
HELEN,209,0.0324
VANDERLEI,207,0.0321
MAGDA,206,0.0319
ROSE,206,0.0319
SORAYA,205,0.0318
MARCELLO,204,0.0316
IVANA,203,0.0315
CARMEM,202,0.0313
NIVALDO,202,0.0313
EVALDO,202,0.0313
TAMARA,202,0.0313
MARGARETH,201,0.0311
GIOVANNA,201,0.0311
POLIANA,200,0.0310
NEIDE,200,0.0310
ARIANE,200,0.0310
ERIC,200,0.0310
TULIO,199,0.0308
ALANA,198,0.0307
CONCEICAO,198,0.0307
EDGAR,197,0.0305
SUELEN,197,0.0305
EUGENIO,197,0.0305
THALES,196,0.0304
ROGER,195,0.0302
CINTHIA,193,0.0299
REGIANE,193,0.0299
LUDMILA,193,0.0299
NORMA,193,0.0299
LUAN,193,0.0299
AIRTON,193,0.0299
EDISON,193,0.0299
DAYSE,192,0.0297
DENILSON,191,0.0296
PAOLA,190,0.0294
CRISTIANA,189,0.0293
JONATHAN,189,0.0293
HUDSON,188,0.0291
CHRISTIAN,187,0.0290
NEWTON,186,0.0288
PATRICK,186,0.0288
HAROLDO,186,0.0288
GIOVANI,185,0.0287
NEUSA,185,0.0287
OSCAR,184,0.0285
GILVAN,184,0.0285
EUNICE,183,0.0284
MARTHA,183,0.0284
THALITA,183,0.0284
ENIO,182,0.0282
GRAZIELA,181,0.0280
MARCELLA,180,0.0279
ADAO,179,0.0277
JOICE,179,0.0277
ISABELLE,179,0.0277
JAILSON,179,0.0277
DAYANE,178,0.0276
ISAAC,178,0.0276
ALDO,178,0.0276
JONATAS,177,0.0274
ITAMAR,177,0.0274
ADEMAR,177,0.0274
GIOVANNI,174,0.0270
DJALMA,174,0.0270
KENIA,174,0.0270
RAFAELLA,174,0.0270
SUSANA,174,0.0270
ISIS,174,0.0270
CLEITON,174,0.0270
GLORIA,173,0.0268
ALEXSANDRO,170,0.0263
CIBELE,170,0.0263
KAMILA,169,0.0262
LAERCIO,169,0.0262
FRANCIELE,169,0.0262
SUELLEN,168,0.0260
IRENE,168,0.0260
CATARINA,167,0.0259
EVA,166,0.0257
MARGARIDA,166,0.0257
LUCIMAR,165,0.0256
HEITOR,165,0.0256
MICHAEL,165,0.0256
SIDNEI,164,0.0254
WALLACE,164,0.0254
ULISSES,163,0.0253
RUY,162,0.0251
PALOMA,162,0.0251
JOSIAS,162,0.0251
ELIETE,162,0.0251
DAIANA,161,0.0249
GLAUBER,161,0.0249
LIANA,161,0.0249
EDILENE,161,0.0249
GABRIELLE,161,0.0249
CEZAR,160,0.0248
MARLY,159,0.0246
JEANE,159,0.0246
EDUARDA,159,0.0246
FABRICIA,158,0.0245
DARIO,157,0.0243
REGIS,157,0.0243
LIA,157,0.0243
MAYRA,157,0.0243
EDIVALDO,157,0.0243
FRANCINE,156,0.0242
EMILIA,156,0.0242
YARA,156,0.0242
TAMIRES,156,0.0242
EDMAR,154,0.0239
WANDERLEY,154,0.0239
KAROLINE,154,0.0239
ESTER,154,0.0239
MAGNO,152,0.0235
VANDA,152,0.0235
WANESSA,152,0.0235
ISAIAS,152,0.0235
VALQUIRIA,151,0.0234
ELIZANGELA,151,0.0234
GISLAINE,151,0.0234
ROSEANE,151,0.0234
VLADIMIR,150,0.0232
ELISABETH,150,0.0232
ALEXANDER,150,0.0232
INES,150,0.0232
IEDA,150,0.0232
AGNALDO,149,0.0231
MILENE,149,0.0231
NILO,149,0.0231
CLAYTON,149,0.0231
CLEONICE,149,0.0231
AMAURI,148,0.0229
NADJA,148,0.0229
LOURIVAL,148,0.0229
MARGARETE,148,0.0229
JOSEFA,147,0.0228
CIRO,147,0.0228
HELLEN,146,0.0226
ALCIDES,146,0.0226
RONALD,146,0.0226
GLAUCO,145,0.0225
MARIZA,144,0.0223
GEORGIA,144,0.0223
IRIS,143,0.0222
MARCILIO,143,0.0222
FRANKLIN,143,0.0222
CLAUDETE,143,0.0222
WALDIR,143,0.0222
ANSELMO,142,0.0220
JAMES,142,0.0220
LISIANE,142,0.0220
EDNALDO,141,0.0218
SILVANIA,141,0.0218
MARILDA,141,0.0218
IVANILDO,140,0.0217
ELSON,139,0.0215
ERICO,139,0.0215
ARLETE,138,0.0214
MAISA,138,0.0214
DALVA,138,0.0214
AUREA,138,0.0214
IZABELA,138,0.0214
NICOLE,138,0.0214
LAZARO,137,0.0212
VALDECI,137,0.0212
MARCELLE,137,0.0212
ELIZETE,137,0.0212
IRACEMA,136,0.0211
JOSEANE,136,0.0211
ROSIANE,136,0.0211
RUBIA,135,0.0209
TAINA,135,0.0209
MAICON,134,0.0208
JANIO,134,0.0208
LUCILENE,134,0.0208
VALDEMIR,134,0.0208
CARINE,133,0.0206
ERNESTO,133,0.0206
AMARILDO,132,0.0205
ARLINDO,131,0.0203
WILMA,131,0.0203
NILZA,131,0.0203
MARIANGELA,130,0.0201
RUTE,130,0.0201
TADEU,130,0.0201
LEDA,129,0.0200
LILIA,129,0.0200
SAVIO,129,0.0200
JOSIMAR,128,0.0198
EVELYN,128,0.0198
ALTAIR,128,0.0198
ALOISIO,127,0.0197
VICTORIA,126,0.0195
RINALDO,126,0.0195
ALYSSON,126,0.0195
NAIARA,125,0.0194
MARCELINO,125,0.0194
OLIVIA,125,0.0194
UBIRAJARA,124,0.0192
JAMILE,124,0.0192
ALBA,124,0.0192
EZEQUIEL,124,0.0192
JERONIMO,123,0.0191
SAMIRA,123,0.0191
DAYANA,123,0.0191
SORAIA,123,0.0191
