UNOME,QTDE
MAURITY,3
TRENTIN,3
VIRTUOSO,3
GOSMANN,3
MORTE,3
PIANCO,3
GONSALVES,3
PIAIA,3
VOGT,3
VIZZOTTO,3
MARRIEL,3
BOM,3
MARREIROS,3
BOLZAN,3
MARANGONI,3
BAGOLIN,3
VIRGINIO,3
LAFAYETTE,3
MURAKAMI,3
LARANJEIRA,3
ABRAHAO,3
LARANJA,3
KUSTER,3
TOSTES,3
BACELLAR,3
GONZALES,3
BORDIGNON,3
VILLACA,3
MARTINIANO,3
VITORIO,3
GIRARDI,3
MELGACO,3
LEIPNITZ,3
WALTER,3
GIORDANO,3
TUPINAMBA,3
MELHORANCA,3
PERRONI,3
BIZZO,3
KREUTZ,3
ABDALLA,3
PENEDO,3
KREMER,3
AZAMBUJA,3
BIONDO,3
MARCHI,3
ZETOLES,3
KUIAVA,3
ASSAF,3
TROMBINI,3
AGOSTINI,3
AGOSTINHO,3
LANNA,3
GLORIA,3
MAREGA,3
MOULIN,3
BALBE,3
PEGAS,3
MOIZINHO,2
MOCO,2
ROSSATO,2
MOLINARI,2
LORENTZ,2
ROVARIS,2
LANG,2
LORENA,2
MOCELLIN,2
DOTTO,2
DOWSLEY,2
LOMBA,2
DRUZIAN,2
LONTRA,2
LANGE,2
SALLENAVE,2
LOMBARDI,2
LATINI,2
LOLLI,2
MOHR,2
LOFRANO,2
LONDERO,2
DELFINO,2
DUO,2
LAPOLLI,2
MOISES,2
DUMONT,2
LODI,2
SALONE,2
ROSSETTI,2
DUNLEY,2
DELBONI,2
SAID,2
DEMARTINI,2
LEOPOLDO,2
LEY,2
RUBIM,2
LEDA,2
MORES,2
MONTEZUMA,2
RUBIN,2
DIEFENBACH,2
LEGNANI,2
MORELLI,2
RUBINSTEIN,2
LESKE,2
DILL,2
SALVIANO,2
LAU,2
LEOPOLDINO,2
LEONI,2
LEONE,2
LEIRIA,2
LELLIS,2
DOMICIANO,2
RUDAKOFF,2
DOCKHORN,2
DIVINO,2
MORBECK,2
MORBACH,2
DITTER,2
DONINI,2
SABENCA,2
LIBERAL,2
LIBERATO,2
SALAZAR,2
SAKIYAMA,2
DENIUR,2
LAURENTINO,2
SAKAMOTO,2
LAURIA,2
DEOCLECIO,2
DEOLINDO,2
LISA,2
DEON,2
LAURIANO,2
DEROSSI,2
ROZADO,2
DESCHAMPS,2
DESIDERIO,2
DETANICO,2
LIPPI,2
LAVORATO,2
MONNERAT,2
LAZARO,2
LAZZAROTTO,2
MONSORES,2
MONTALVAO,2
LICHT,2
MONTEL,2
PILLAR,2
MILANEZI,2
LOSS,2
MARCHINI,2
CORAZZA,2
COQUEIRO,2
MEIER,2
MARCON,2
MARCOS,2
COPETTI,2
COPATI,2
MECENAS,2
MAZZONI,2
CONSTANTINO,2
MARIOTTI,2
CONSTANCIO,2
SCHRAMM,2
MAZZEI,2
MAZO,2
SCHROEDER,2
SCHUCK,2
CORBELLINI,2
CORDOVIL,2
COLPINI,2
SCHLEDER,2
MELQUIADES,2
SCHEFER,2
COTTA,2
MARACAJA,2
SCHEIDT,2
MELMAN,2
CORVELO,2
SCHERRER,2
MARANGON,2
SCHETTINO,2
CORSINO,2
CORRADI,2
MARCELLO,2
MARCHESE,2
CORONEL,2
MARCHETI,2
MARCHETTI,2
SCHULTZ,2
MAROCCOLO,2
MENEGAZZO,2
CLEMENTINO,2
SECO,2
CLAUS,2
CLAUDIO,2
MARTINES,2
CLARO,2
CLARK,2
SEDLACEK,2
CISNE,2
CISCOTTO,2
CIROLINI,2
MATSUBARA,2
MARTON,2
MATOLA,2
CIRIACO,2
CIPRIANO,2
MATHEUS,2
MASO,2
MARTINELLI,2
CLETO,2
SCHUMANN,2
SECCHI,2
SCHUTZ,2
MARREIRA,2
SCHWARZBOLD,2
COLETTO,2
MARREIRO,2
COL,2
SCOFANO,2
MARRONI,2
SCOPEL,2
SCORALICK,2
MARTEL,2
MARTELL,2
SCOTELANO,2
COCO,2
SCOTTON,2
MATURANA,2
MATTE,2
MANZAN,2
COZENDEY,2
LOUREDO,2
LUSA,2
MILLAN,2
SANTAREM,2
MILHOMENS,2
DAMACENO,2
MILFONT,2
DAMACENA,2
MILET,2
DALTRO,2
MILANO,2
DALRI,2
DALMOLIN,2
MASSON,2
MACIAS,2
DALCIN,2
MADEIROS,2
MAGANHA,2
DAIBERT,2
MINAMI,2
SANTANDER,2
SARDELA,2
LUPORINI,2
LOURENCAO,2
LOYOLA,2
LOZANO,2
SANDER,2
LUCIA,2
DANZIATO,2
LUCIANI,2
SANDRINI,2
LUCINARI,2
DANIN,2
LUDTKE,2
DANESE,2
DAMKE,2
SANMARTIN,2
LUDVIG,2
DAMBROS,2
LUNDGREN,2
MICHELIN,2
MICHAEL,2
