UNOME,QTDE,PERC
ALEXANDRINO,35,0.0054
DORES,35,0.0054
SMITH,35,0.0054
REINALDO,34,0.0053
IBIAPINA,34,0.0053
TIBURCIO,34,0.0053
HIDALGO,34,0.0053
FREDERICO,34,0.0053
AGNOL,34,0.0053
GUAJAJARA,34,0.0053
DALTRO,34,0.0053
ABDALA,34,0.0053
MARCIANO,34,0.0053
VARELLA,34,0.0053
ARCOVERDE,34,0.0053
MONTALVAO,34,0.0053
ELEUTERIO,34,0.0053
GUERRERO,34,0.0053
LAURENTINO,34,0.0053
HAYASHI,34,0.0053
TRISTAO,34,0.0053
MORI,34,0.0053
PIVA,34,0.0053
FERRI,34,0.0053
OTTONI,34,0.0053
DAMACENO,33,0.0051
HAAS,33,0.0051
MARINI,33,0.0051
NERIS,33,0.0051
ORLANDO,33,0.0051
MIOTTO,33,0.0051
BIANCO,33,0.0051
JACOME,33,0.0051
PONCIANO,33,0.0051
ORNELAS,33,0.0051
MANGUEIRA,33,0.0051
ESPOSITO,33,0.0051
ZACARIAS,33,0.0051
FE,33,0.0051
PORFIRIO,33,0.0051
CURI,33,0.0051
LENZI,33,0.0051
MALLMANN,33,0.0051
ILHA,33,0.0051
CRISTO,33,0.0051
SPINDOLA,33,0.0051
FRANKLIN,32,0.0050
DOTTO,32,0.0050
SCHULZ,32,0.0050
PAIS,32,0.0050
QUINTANA,32,0.0050
RICHTER,32,0.0050
FRUTUOSO,32,0.0050
MATSUMOTO,32,0.0050
GUTERRES,32,0.0050
BOEIRA,32,0.0050
MARCOS,32,0.0050
PATRIOTA,32,0.0050
HILARIO,32,0.0050
FABRICIO,32,0.0050
FLEURY,32,0.0050
MILANEZ,32,0.0050
VALIM,32,0.0050
ROSSO,32,0.0050
KIMURA,32,0.0050
LAMAS,32,0.0050
ENCARNACAO,32,0.0050
CASTILHOS,32,0.0050
PALACIO,32,0.0050
MARCHIORI,32,0.0050
FINGER,32,0.0050
BERALDO,32,0.0050
LEONEL,32,0.0050
FONTELES,32,0.0050
GRACIANO,32,0.0050
CIRILO,32,0.0050
