PNOME,QTDE,PERC
ANSELMO,13,0.020339513416255967
ELIZANGELA,13,0.020339513416255967
IVONETE,13,0.020339513416255967
HILTON,13,0.020339513416255967
ZENAIDE,13,0.020339513416255967
GISLAINE,13,0.020339513416255967
MAISA,13,0.020339513416255967
TASSIA,13,0.020339513416255967
GENIVAL,13,0.020339513416255967
KEILA,13,0.020339513416255967
VALQUIRIA,13,0.020339513416255967
ARISTIDES,13,0.020339513416255967
IRANI,13,0.020339513416255967
SUSANA,13,0.020339513416255967
MARCONI,13,0.020339513416255967
ELIO,13,0.020339513416255967
ALEXSANDRA,12,0.018774935461159353
THALES,12,0.018774935461159353
MARIANO,12,0.018774935461159353
HERMES,12,0.018774935461159353
ADELSON,12,0.018774935461159353
RAMON,12,0.018774935461159353
OLIVIA,12,0.018774935461159353
LUCY,12,0.018774935461159353
LINDOMAR,12,0.018774935461159353
SILAS,12,0.018774935461159353
DARCY,12,0.018774935461159353
ROSIMEIRE,12,0.018774935461159353
MICHEL,12,0.018774935461159353
REGIANE,12,0.018774935461159353
KAMILA,12,0.018774935461159353
AROLDO,12,0.018774935461159353
MERCIA,12,0.018774935461159353
IVALDO,12,0.018774935461159353
ENIO,12,0.018774935461159353
LILIA,12,0.018774935461159353
KENIA,12,0.018774935461159353
EZEQUIEL,12,0.018774935461159353
PALOMA,12,0.018774935461159353
IRAN,12,0.018774935461159353
MAURA,12,0.018774935461159353
WANIA,12,0.018774935461159353
AMELIA,12,0.018774935461159353
LUCILENE,12,0.018774935461159353
WANDA,12,0.018774935461159353
JOSELITO,12,0.018774935461159353
ZILDA,12,0.018774935461159353
ELENICE,12,0.018774935461159353
MARINALVA,12,0.018774935461159353
VALDIVINO,12,0.018774935461159353
ELOISA,12,0.018774935461159353
DIRCE,11,0.01721035750606274
JACIARA,11,0.01721035750606274
IZABELA,11,0.01721035750606274
ANNE,11,0.01721035750606274
EMILIO,11,0.01721035750606274
DELCIO,11,0.01721035750606274
MELINA,11,0.01721035750606274
POLIANA,11,0.01721035750606274
AIDA,11,0.01721035750606274
BRAULIO,11,0.01721035750606274
ELIDA,11,0.01721035750606274
LEONEL,11,0.01721035750606274
WELINGTON,11,0.01721035750606274
LEA,11,0.01721035750606274
ILSON,11,0.01721035750606274
THAYS,11,0.01721035750606274
GENESIO,11,0.01721035750606274
NAIARA,11,0.01721035750606274
ALCIR,11,0.01721035750606274
CINARA,11,0.01721035750606274
ADAUTO,11,0.01721035750606274
ROBERIO,11,0.01721035750606274
DORALICE,11,0.01721035750606274
IRINEU,11,0.01721035750606274
LUCELIA,11,0.01721035750606274
ISAC,11,0.01721035750606274
JANICE,11,0.01721035750606274
ALBA,11,0.01721035750606274
ELY,11,0.01721035750606274
WILMAR,11,0.01721035750606274
GONCALO,11,0.01721035750606274
JOYCE,11,0.01721035750606274
MARCELLO,11,0.01721035750606274
SYLVIO,11,0.01721035750606274
NEI,11,0.01721035750606274
HELCIO,11,0.01721035750606274
GIOVANI,11,0.01721035750606274
LINDALVA,11,0.01721035750606274
ERNESTO,11,0.01721035750606274
CLEITON,11,0.01721035750606274
LARA,11,0.01721035750606274
TACIANA,11,0.01721035750606274
JOELSON,11,0.01721035750606274
RIVALDO,10,0.01564577955096613
JOICE,10,0.01564577955096613
CELINA,10,0.01564577955096613
ODETE,10,0.01564577955096613
DAMIANA,10,0.01564577955096613
IVANETE,10,0.01564577955096613
ADAIR,10,0.01564577955096613
ROSIANE,10,0.01564577955096613
ADOLFO,10,0.01564577955096613
ARI,10,0.01564577955096613
FELIX,10,0.01564577955096613
PETRONIO,10,0.01564577955096613
HELLEN,10,0.01564577955096613
NAIR,10,0.01564577955096613
ALANA,10,0.01564577955096613
STELLA,10,0.01564577955096613
ODILON,10,0.01564577955096613
DIMAS,10,0.01564577955096613
DILMA,10,0.01564577955096613
RUTE,10,0.01564577955096613
MARINALDO,10,0.01564577955096613
JOSIEL,10,0.01564577955096613
ARLENE,10,0.01564577955096613
ROGERIA,10,0.01564577955096613
JUVENAL,10,0.01564577955096613
VANDERLI,10,0.01564577955096613
SAMANTHA,10,0.01564577955096613
CAMILO,10,0.01564577955096613
CANDIDA,10,0.01564577955096613
SOCORRO,10,0.01564577955096613
