UNOME,QTDE,PERC,PAIS,LETRAS,REV,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15
MARCIAO,1,0.0016,,7,OAICRAM,O,A,I,C,R,A,M,,,,,,,,,
MARCIANO,1,0.0016,,8,ONAICRAM,O,N,A,I,C,R,A,M,,,,,,,,
MARCIAL,1,0.0016,,7,LAICRAM,L,A,I,C,R,A,M,,,,,,,,,
MARCHITO,1,0.0016,,8,OTIHCRAM,O,T,I,H,C,R,A,M,,,,,,,,
MARCHIORI,1,0.0016,,9,IROIHCRAM,I,R,O,I,H,C,R,A,M,,,,,,,
MARCHEZINI,1,0.0016,IT,10,INIZEHCRAM,I,N,I,Z,E,H,C,R,A,M,,,,,,
MARCHESIN,1,0.0016,,9,NISEHCRAM,N,I,S,E,H,C,R,A,M,,,,,,,
MARCHAND,1,0.0016,,8,DNAHCRAM,D,N,A,H,C,R,A,M,,,,,,,,
MARCELOS,1,0.0016,,8,SOLECRAM,S,O,L,E,C,R,A,M,,,,,,,,
MARCELINA,1,0.0016,,9,ANILECRAM,A,N,I,L,E,C,R,A,M,,,,,,,
MARCARINI,1,0.0016,IT,9,INIRACRAM,I,N,I,R,A,C,R,A,M,,,,,,,
MARCA,1,0.0016,,5,ACRAM,A,C,R,A,M,,,,,,,,,,,
MARAZINI,1,0.0016,IT,8,INIZARAM,I,N,I,Z,A,R,A,M,,,,,,,,
MARAVIESKI,1,0.0016,,10,IKSEIVARAM,I,K,S,E,I,V,A,R,A,M,,,,,,
MARAVALHAS,1,0.0016,,10,SAHLAVARAM,S,A,H,L,A,V,A,R,A,M,,,,,,
MARASSI,1,0.0016,,7,ISSARAM,I,S,S,A,R,A,M,,,,,,,,,
MARASINI,1,0.0016,IT,8,INISARAM,I,N,I,S,A,R,A,M,,,,,,,,
MARASCHIN,1,0.0016,,9,NIHCSARAM,N,I,H,C,S,A,R,A,M,,,,,,,
MARAO,1,0.0016,,5,OARAM,O,A,R,A,M,,,,,,,,,,,
MARANO,1,0.0016,,6,ONARAM,O,N,A,R,A,M,,,,,,,,,,
MARANI,1,0.0016,,6,INARAM,I,N,A,R,A,M,,,,,,,,,,
MARANHO,1,0.0016,,7,OHNARAM,O,H,N,A,R,A,M,,,,,,,,,
MARANGA,1,0.0016,,7,AGNARAM,A,G,N,A,R,A,M,,,,,,,,,
MARCOLIN,1,0.0016,,8,NILOCRAM,N,I,L,O,C,R,A,M,,,,,,,,
MARCOLLA,1,0.0016,,8,ALLOCRAM,A,L,L,O,C,R,A,M,,,,,,,,
MARCOMINI,1,0.0016,IT,9,INIMOCRAM,I,N,I,M,O,C,R,A,M,,,,,,,
MARINATO,1,0.0016,,8,OTANIRAM,O,T,A,N,I,R,A,M,,,,,,,,
MAROUELLI,1,0.0016,IT,9,ILLEUORAM,I,L,L,E,U,O,R,A,M,,,,,,,
MAROTA,1,0.0016,,6,ATORAM,A,T,O,R,A,M,,,,,,,,,,
MAROJA,1,0.0016,,6,AJORAM,A,J,O,R,A,M,,,,,,,,,,
MARODIN,1,0.0016,,7,NIDORAM,N,I,D,O,R,A,M,,,,,,,,,
MAROCHI,1,0.0016,,7,IHCORAM,I,H,C,O,R,A,M,,,,,,,,,
MARMENTINI,1,0.0016,IT,10,INITNEMRAM,I,N,I,T,N,E,M,R,A,M,,,,,,
MARMELLO,1,0.0016,IT,8,OLLEMRAM,O,L,L,E,M,R,A,M,,,,,,,,
MARKUS,1,0.0016,,6,SUKRAM,S,U,K,R,A,M,,,,,,,,,,
MARISCO,1,0.0016,,7,OCSIRAM,O,C,S,I,R,A,M,,,,,,,,,
MARIOTO,1,0.0016,,7,OTOIRAM,O,T,O,I,R,A,M,,,,,,,,,
MARIO,1,0.0016,,5,OIRAM,O,I,R,A,M,,,,,,,,,,,
MARICEVICH,1,0.0016,,10,HCIVECIRAM,H,C,I,V,E,C,I,R,A,M,,,,,,
MARCUZZI,1,0.0016,,8,IZZUCRAM,I,Z,Z,U,C,R,A,M,,,,,,,,
MARIATH,1,0.0016,,7,HTAIRAM,H,T,A,I,R,A,M,,,,,,,,,
MARIALVA,1,0.0016,,8,AVLAIRAM,A,V,L,A,I,R,A,M,,,,,,,,
MARGOTTI,1,0.0016,IT,8,ITTOGRAM,I,T,T,O,G,R,A,M,,,,,,,,
MARGONI,1,0.0016,IT,7,INOGRAM,I,N,O,G,R,A,M,,,,,,,,,
MARGARITES,1,0.0016,,10,SETIRAGRAM,S,E,T,I,R,A,G,R,A,M,,,,,,
MARGARIDA,1,0.0016,,9,ADIRAGRAM,A,D,I,R,A,G,R,A,M,,,,,,,
MARFIL,1,0.0016,,6,LIFRAM,L,I,F,R,A,M,,,,,,,,,,
MARES,1,0.0016,,5,SERAM,S,E,R,A,M,,,,,,,,,,,
MARECOS,1,0.0016,,7,SOCERAM,S,O,C,E,R,A,M,,,,,,,,,
MARDINI,1,0.0016,IT,7,INIDRAM,I,N,I,D,R,A,M,,,,,,,,,
MARDEGAN,1,0.0016,,8,NAGEDRAM,N,A,G,E,D,R,A,M,,,,,,,,
MACABEU,1,0.0016,FR,7,UEBACAM,U,E,B,A,C,A,M,,,,,,,,,
MAAG,1,0.0016,,4,GAAM,G,A,A,M,,,,,,,,,,,,
ABAD,1,0.0016,,4,DABA,D,A,B,A,,,,,,,,,,,,
LESSAK,1,0.0016,,6,KASSEL,K,A,S,S,E,L,,,,,,,,,,
LERMONTOV,1,0.0016,,9,VOTNOMREL,V,O,T,N,O,M,R,E,L,,,,,,,
LERMES,1,0.0016,,6,SEMREL,S,E,M,R,E,L,,,,,,,,,,
LERMEN,1,0.0016,,6,NEMREL,N,E,M,R,E,L,,,,,,,,,,
LERCO,1,0.0016,,5,OCREL,O,C,R,E,L,,,,,,,,,,,
LERBAK,1,0.0016,,6,KABREL,K,A,B,R,E,L,,,,,,,,,,
LERBACH,1,0.0016,DE,7,HCABREL,H,C,A,B,R,E,L,,,,,,,,,
LEPKOSKI,1,0.0016,,8,IKSOKPEL,I,K,S,O,K,P,E,L,,,,,,,,
LEONEL,1,0.0016,,6,LENOEL,L,E,N,O,E,L,,,,,,,,,,
LEOCADIO,1,0.0016,,8,OIDACOEL,O,I,D,A,C,O,E,L,,,,,,,,
LEOBACK,1,0.0016,,7,KCABOEL,K,C,A,B,O,E,L,,,,,,,,,
LEO,1,0.0016,,3,OEL,O,E,L,,,,,,,,,,,,,
LENZ,1,0.0016,,4,ZNEL,Z,N,E,L,,,,,,,,,,,,
LENK,1,0.0016,,4,KNEL,K,N,E,L,,,,,,,,,,,,
LENFERS,1,0.0016,,7,SREFNEL,S,R,E,F,N,E,L,,,,,,,,,
LENCINA,1,0.0016,,7,ANICNEL,A,N,I,C,N,E,L,,,,,,,,,
LEMME,1,0.0016,,5,EMMEL,E,M,M,E,L,,,,,,,,,,,
LEMKE,1,0.0016,,5,EKMEL,E,K,M,E,L,,,,,,,,,,,
LELES,1,0.0016,,5,SELEL,S,E,L,E,L,,,,,,,,,,,
LEIVA,1,0.0016,,5,AVIEL,A,V,I,E,L,,,,,,,,,,,
LEITZKE,1,0.0016,,7,EKZTIEL,E,K,Z,T,I,E,L,,,,,,,,,
LEISTER,1,0.0016,,7,RETSIEL,R,E,T,S,I,E,L,,,,,,,,,
LEIROS,1,0.0016,,6,SORIEL,S,O,R,I,E,L,,,,,,,,,,
LEIMIG,1,0.0016,,6,GIMIEL,G,I,M,I,E,L,,,,,,,,,,
LEIBOVICH,1,0.0016,,9,HCIVOBIEL,H,C,I,V,O,B,I,E,L,,,,,,,
LEHNHARD,1,0.0016,FR,8,DRAHNHEL,D,R,A,H,N,H,E,L,,,,,,,,
LEROY,1,0.0016,,5,YOREL,Y,O,R,E,L,,,,,,,,,,,
LESTE,1,0.0016,,5,ETSEL,E,T,S,E,L,,,,,,,,,,,
LYONS,1,0.0016,,5,SNOYL,S,N,O,Y,L,,,,,,,,,,,
LESTINGE,1,0.0016,,8,EGNITSEL,E,G,N,I,T,S,E,L,,,,,,,,
LIMP,1,0.0016,,4,PMIL,P,M,I,L,,,,,,,,,,,,
LIMAVERDE,1,0.0016,,9,EDREVAMIL,E,D,R,E,V,A,M,I,L,,,,,,,
LIMAO,1,0.0016,,5,OAMIL,O,A,M,I,L,,,,,,,,,,,
LIMANA,1,0.0016,,6,ANAMIL,A,N,A,M,I,L,,,,,,,,,,
LIGUORI,1,0.0016,,7,IROUGIL,I,R,O,U,G,I,L,,,,,,,,,
LIGNANI,1,0.0016,,7,INANGIL,I,N,A,N,G,I,L,,,,,,,,,
LIGIERO,1,0.0016,,7,OREIGIL,O,R,E,I,G,I,L,,,,,,,,,
LIGEIRO,1,0.0016,,7,ORIEGIL,O,R,I,E,G,I,L,,,,,,,,,
LIGABUE,1,0.0016,,7,EUBAGIL,E,U,B,A,G,I,L,,,,,,,,,
LIEBL,1,0.0016,,5,LBEIL,L,B,E,I,L,,,,,,,,,,,
LIEBERENZ,1,0.0016,,9,ZNEREBEIL,Z,N,E,R,E,B,E,I,L,,,,,,,
LICURGO,1,0.0016,,7,OGRUCIL,O,G,R,U,C,I,L,,,,,,,,,
LICURCI,1,0.0016,,7,ICRUCIL,I,C,R,U,C,I,L,,,,,,,,,
LICORIO,1,0.0016,,7,OIROCIL,O,I,R,O,C,I,L,,,,,,,,,
LICASSALI,1,0.0016,,9,ILASSACIL,I,L,A,S,S,A,C,I,L,,,,,,,
LIBRALON,1,0.0016,,8,NOLARBIL,N,O,L,A,R,B,I,L,,,,,,,,
LIARTE,1,0.0016,,6,ETRAIL,E,T,R,A,I,L,,,,,,,,,,
LIAO,1,0.0016,,4,OAIL,O,A,I,L,,,,,,,,,,,,
LHAMBY,1,0.0016,,6,YBMAHL,Y,B,M,A,H,L,,,,,,,,,,
LEZIER,1,0.0016,FR,6,REIZEL,R,E,I,Z,E,L,,,,,,,,,,
LEWER,1,0.0016,,5,REWEL,R,E,W,E,L,,,,,,,,,,,
LEVY,1,0.0016,,4,YVEL,Y,V,E,L,,,,,,,,,,,,
LEVCOVITZ,1,0.0016,,9,ZTIVOCVEL,Z,T,I,V,O,C,V,E,L,,,,,,,
LETTNIN,1,0.0016,,7,NINTTEL,N,I,N,T,T,E,L,,,,,,,,,
LETIERI,1,0.0016,IT,7,IREITEL,I,R,E,I,T,E,L,,,,,,,,,
LEGUIZAMON,1,0.0016,,10,NOMAZIUGEL,N,O,M,A,Z,I,U,G,E,L,,,,,,
LEFEVRE,1,0.0016,,7,ERVEFEL,E,R,V,E,F,E,L,,,,,,,,,
LEDO,1,0.0016,,4,ODEL,O,D,E,L,,,,,,,,,,,,
LEDIC,1,0.0016,,5,CIDEL,C,I,D,E,L,,,,,,,,,,,
LARROYED,1,0.0016,,8,DEYORRAL,D,E,Y,O,R,R,A,L,,,,,,,,
LAROVERE,1,0.0016,,8,EREVORAL,E,R,E,V,O,R,A,L,,,,,,,,
LAROSA,1,0.0016,,6,ASORAL,A,S,O,R,A,L,,,,,,,,,,
LAROQUE,1,0.0016,,7,EUQORAL,E,U,Q,O,R,A,L,,,,,,,,,
LARICCHIA,1,0.0016,,9,AIHCCIRAL,A,I,H,C,C,I,R,A,L,,,,,,,
LARI,1,0.0016,,4,IRAL,I,R,A,L,,,,,,,,,,,,
LARES,1,0.0016,,5,SERAL,S,E,R,A,L,,,,,,,,,,,
LARENAS,1,0.0016,,7,SANERAL,S,A,N,E,R,A,L,,,,,,,,,
LARANJEIRAS,1,0.0016,,11,SARIEJNARAL,S,A,R,I,E,J,N,A,R,A,L,,,,,
LARANGEIRA,1,0.0016,,10,ARIEGNARAL,A,R,I,E,G,N,A,R,A,L,,,,,,
LAPROVITA,1,0.0016,,9,ATIVORPAL,A,T,I,V,O,R,P,A,L,,,,,,,
LAPENDA,1,0.0016,,7,ADNEPAL,A,D,N,E,P,A,L,,,,,,,,,
LANZARIN,1,0.0016,,8,NIRAZNAL,N,I,R,A,Z,N,A,L,,,,,,,,
LANZARA,1,0.0016,,7,ARAZNAL,A,R,A,Z,N,A,L,,,,,,,,,
LANIUS,1,0.0016,,6,SUINAL,S,U,I,N,A,L,,,,,,,,,,
LANINI,1,0.0016,IT,6,ININAL,I,N,I,N,A,L,,,,,,,,,,
LANGSDORFF,1,0.0016,,10,FFRODSGNAL,F,F,R,O,D,S,G,N,A,L,,,,,,
LANGSCH,1,0.0016,,7,HCSGNAL,H,C,S,G,N,A,L,,,,,,,,,
LANGER,1,0.0016,,6,REGNAL,R,E,G,N,A,L,,,,,,,,,,
LANGA,1,0.0016,,5,AGNAL,A,G,N,A,L,,,,,,,,,,,
LANDFELDT,1,0.0016,,9,TDLEFDNAL,T,D,L,E,F,D,N,A,L,,,,,,,
LANDERDAHL,1,0.0016,,10,LHADREDNAL,L,H,A,D,R,E,D,N,A,L,,,,,,
LAND,1,0.0016,,4,DNAL,D,N,A,L,,,,,,,,,,,,
LANCASTRE,1,0.0016,,9,ERTSACNAL,E,R,T,S,A,C,N,A,L,,,,,,,
LANARO,1,0.0016,,6,ORANAL,O,R,A,N,A,L,,,,,,,,,,
LARRUBIA,1,0.0016,,8,AIBURRAL,A,I,B,U,R,R,A,L,,,,,,,,
LARSEN,1,0.0016,,6,NESRAL,N,E,S,R,A,L,,,,,,,,,,
LARSON,1,0.0016,,6,NOSRAL,N,O,S,R,A,L,,,,,,,,,,
LAVINAS,1,0.0016,,7,SANIVAL,S,A,N,I,V,A,L,,,,,,,,,
LEDES,1,0.0016,,5,SEDEL,S,E,D,E,L,,,,,,,,,,,
LECIO,1,0.0016,,5,OICEL,O,I,C,E,L,,,,,,,,,,,
LECHIV,1,0.0016,,6,VIHCEL,V,I,H,C,E,L,,,,,,,,,,
LEBRE,1,0.0016,,5,ERBEL,E,R,B,E,L,,,,,,,,,,,
LEBLER,1,0.0016,,6,RELBEL,R,E,L,B,E,L,,,,,,,,,,
LEADEBAL,1,0.0016,,8,LABEDAEL,L,A,B,E,D,A,E,L,,,,,,,,
LAZZERI,1,0.0016,,7,IREZZAL,I,R,E,Z,Z,A,L,,,,,,,,,
LAZZAROTTI,1,0.0016,IT,10,ITTORAZZAL,I,T,T,O,R,A,Z,Z,A,L,,,,,,
LAZZARINI,1,0.0016,IT,9,INIRAZZAL,I,N,I,R,A,Z,Z,A,L,,,,,,,
LAXE,1,0.0016,,4,EXAL,E,X,A,L,,,,,,,,,,,,
LAWSON,1,0.0016,,6,NOSWAL,N,O,S,W,A,L,,,,,,,,,,
LAVARDA,1,0.0016,,7,ADRAVAL,A,D,R,A,V,A,L,,,,,,,,,
LASMAR,1,0.0016,,6,RAMSAL,R,A,M,S,A,L,,,,,,,,,,
LAVALL,1,0.0016,,6,LLAVAL,L,L,A,V,A,L,,,,,,,,,,
LAUTERT,1,0.0016,,7,TRETUAL,T,R,E,T,U,A,L,,,,,,,,,
LAURO,1,0.0016,,5,ORUAL,O,R,U,A,L,,,,,,,,,,,
LAURENCIO,1,0.0016,,9,OICNERUAL,O,I,C,N,E,R,U,A,L,,,,,,,
LAUERMANN,1,0.0016,DE,9,NNAMREUAL,N,N,A,M,R,E,U,A,L,,,,,,,
LAUDARES,1,0.0016,,8,SERADUAL,S,E,R,A,D,U,A,L,,,,,,,,
LAUAR,1,0.0016,,5,RAUAL,R,A,U,A,L,,,,,,,,,,,
LATTANZI,1,0.0016,,8,IZNATTAL,I,Z,N,A,T,T,A,L,,,,,,,,
LATORRACA,1,0.0016,,9,ACARROTAL,A,C,A,R,R,O,T,A,L,,,,,,,
LATAVANHA,1,0.0016,,9,AHNAVATAL,A,H,N,A,V,A,T,A,L,,,,,,,
LASSE,1,0.0016,,5,ESSAL,E,S,S,A,L,,,,,,,,,,,
LINCOLN,1,0.0016,,7,NLOCNIL,N,L,O,C,N,I,L,,,,,,,,,
LINDEMANN,1,0.0016,DE,9,NNAMEDNIL,N,N,A,M,E,D,N,I,L,,,,,,,
LINDEN,1,0.0016,,6,NEDNIL,N,E,D,N,I,L,,,,,,,,,,
LOTTI,1,0.0016,IT,5,ITTOL,I,T,T,O,L,,,,,,,,,,,
LUCIETTI,1,0.0016,IT,8,ITTEICUL,I,T,T,E,I,C,U,L,,,,,,,,
LUCHINI,1,0.0016,IT,7,INIHCUL,I,N,I,H,C,U,L,,,,,,,,,
LUCHESI,1,0.0016,,7,ISEHCUL,I,S,E,H,C,U,L,,,,,,,,,
LUCERO,1,0.0016,,6,ORECUL,O,R,E,C,U,L,,,,,,,,,,
LUCE,1,0.0016,,4,ECUL,E,C,U,L,,,,,,,,,,,,
LUCCIA,1,0.0016,,6,AICCUL,A,I,C,C,U,L,,,,,,,,,,
LUCCHESI,1,0.0016,,8,ISEHCCUL,I,S,E,H,C,C,U,L,,,,,,,,
LUCATELLI,1,0.0016,IT,9,ILLETACUL,I,L,L,E,T,A,C,U,L,,,,,,,
LUBIANA,1,0.0016,,7,ANAIBUL,A,N,A,I,B,U,L,,,,,,,,,
LUBE,1,0.0016,,4,EBUL,E,B,U,L,,,,,,,,,,,,
LUBANCO,1,0.0016,,7,OCNABUL,O,C,N,A,B,U,L,,,,,,,,,
LOY,1,0.0016,,3,YOL,Y,O,L,,,,,,,,,,,,,
LOW,1,0.0016,,3,WOL,W,O,L,,,,,,,,,,,,,
LOVIS,1,0.0016,,5,SIVOL,S,I,V,O,L,,,,,,,,,,,
LOVATTO,1,0.0016,,7,OTTAVOL,O,T,T,A,V,O,L,,,,,,,,,
LOVATO,1,0.0016,,6,OTAVOL,O,T,A,V,O,L,,,,,,,,,,
LOUVISSE,1,0.0016,,8,ESSIVUOL,E,S,S,I,V,U,O,L,,,,,,,,
LOUSA,1,0.0016,,5,ASUOL,A,S,U,O,L,,,,,,,,,,,
LOURO,1,0.0016,,5,ORUOL,O,R,U,O,L,,,,,,,,,,,
LOURINHO,1,0.0016,,8,OHNIRUOL,O,H,N,I,R,U,O,L,,,,,,,,
LOURENCONE,1,0.0016,,10,ENOCNERUOL,E,N,O,C,N,E,R,U,O,L,,,,,,
LOURENCON,1,0.0016,,9,NOCNERUOL,N,O,C,N,E,R,U,O,L,,,,,,,
LOURENCATO,1,0.0016,,10,OTACNERUOL,O,T,A,C,N,E,R,U,O,L,,,,,,
LOURA,1,0.0016,,5,ARUOL,A,R,U,O,L,,,,,,,,,,,
LOULA,1,0.0016,,5,ALUOL,A,L,U,O,L,,,,,,,,,,,
LUCILIO,1,0.0016,,7,OILICUL,O,I,L,I,C,U,L,,,,,,,,,
LUCINI,1,0.0016,IT,6,INICUL,I,N,I,C,U,L,,,,,,,,,,
LUDGERO,1,0.0016,,7,OREGDUL,O,R,E,G,D,U,L,,,,,,,,,
LUNKES,1,0.0016,,6,SEKNUL,S,E,K,N,U,L,,,,,,,,,,
LYNCH,1,0.0016,,5,HCNYL,H,C,N,Y,L,,,,,,,,,,,
LYCURGO,1,0.0016,,7,OGRUCYL,O,G,R,U,C,Y,L,,,,,,,,,
LUZZARDI,1,0.0016,,8,IDRAZZUL,I,D,R,A,Z,Z,U,L,,,,,,,,
LUZORIO,1,0.0016,,7,OIROZUL,O,I,R,O,Z,U,L,,,,,,,,,
LUZES,1,0.0016,,5,SEZUL,S,E,Z,U,L,,,,,,,,,,,
LUVIZARO,1,0.0016,,8,ORAZIVUL,O,R,A,Z,I,V,U,L,,,,,,,,
LUVIELMO,1,0.0016,,8,OMLEIVUL,O,M,L,E,I,V,U,L,,,,,,,,
LUTTERBACH,1,0.0016,DE,10,HCABRETTUL,H,C,A,B,R,E,T,T,U,L,,,,,,
LUTHER,1,0.0016,,6,REHTUL,R,E,H,T,U,L,,,,,,,,,,
LUSTRE,1,0.0016,,6,ERTSUL,E,R,T,S,U,L,,,,,,,,,,
LUSO,1,0.0016,,4,OSUL,O,S,U,L,,,,,,,,,,,,
LUNGAREZE,1,0.0016,,9,EZERAGNUL,E,Z,E,R,A,G,N,U,L,,,,,,,
LUDOVICO,1,0.0016,,8,OCIVODUL,O,C,I,V,O,D,U,L,,,,,,,,
LUNEDO,1,0.0016,,6,ODENUL,O,D,E,N,U,L,,,,,,,,,,
LUNARDI,1,0.0016,,7,IDRANUL,I,D,R,A,N,U,L,,,,,,,,,
LUMBRERAS,1,0.0016,,9,SARERBMUL,S,A,R,E,R,B,M,U,L,,,,,,,
LULA,1,0.0016,,4,ALUL,A,L,U,L,,,,,,,,,,,,
LUIZE,1,0.0016,,5,EZIUL,E,Z,I,U,L,,,,,,,,,,,
LUIZARI,1,0.0016,,7,IRAZIUL,I,R,A,Z,I,U,L,,,,,,,,,
LUIGI,1,0.0016,,5,IGIUL,I,G,I,U,L,,,,,,,,,,,
LUI,1,0.0016,,3,IUL,I,U,L,,,,,,,,,,,,,
LUGON,1,0.0016,,5,NOGUL,N,O,G,U,L,,,,,,,,,,,
LUGO,1,0.0016,,4,OGUL,O,G,U,L,,,,,,,,,,,,
LUDWIG,1,0.0016,,6,GIWDUL,G,I,W,D,U,L,,,,,,,,,,
LOTUFO,1,0.0016,,6,OFUTOL,O,F,U,T,O,L,,,,,,,,,,
LOTTERMANN,1,0.0016,DE,10,NNAMRETTOL,N,N,A,M,R,E,T,T,O,L,,,,,,
LINDENBERG,1,0.0016,DE,10,GREBNEDNIL,G,R,E,B,N,E,D,N,I,L,,,,,,
LOTTA,1,0.0016,,5,ATTOL,A,T,T,O,L,,,,,,,,,,,
LOCIO,1,0.0016,,5,OICOL,O,I,C,O,L,,,,,,,,,,,
LOCH,1,0.0016,,4,HCOL,H,C,O,L,,,,,,,,,,,,
LOCARNO,1,0.0016,,7,ONRACOL,O,N,R,A,C,O,L,,,,,,,,,
LOBREGAT,1,0.0016,,8,TAGERBOL,T,A,G,E,R,B,O,L,,,,,,,,
LO,1,0.0016,,2,OL,O,L,,,,,,,,,,,,,,
LLARENA,1,0.0016,,7,ANERALL,A,N,E,R,A,L,L,,,,,,,,,
LIZIDATTI,1,0.0016,,9,ITTADIZIL,I,T,T,A,D,I,Z,I,L,,,,,,,
LIZ,1,0.0016,,3,ZIL,Z,I,L,,,,,,,,,,,,,
LIXA,1,0.0016,,4,AXIL,A,X,I,L,,,,,,,,,,,,
LIVRAMENTO,1,0.0016,,10,OTNEMARVIL,O,T,N,E,M,A,R,V,I,L,,,,,,
LITHOLDO,1,0.0016,,8,ODLOHTIL,O,D,L,O,H,T,I,L,,,,,,,,
LISZBINSKI,1,0.0016,,10,IKSNIBZSIL,I,K,S,N,I,B,Z,S,I,L,,,,,,
LISKA,1,0.0016,,5,AKSIL,A,K,S,I,L,,,,,,,,,,,
LIRO,1,0.0016,,4,ORIL,O,R,I,L,,,,,,,,,,,,
LIONELLO,1,0.0016,IT,8,OLLENOIL,O,L,L,E,N,O,I,L,,,,,,,,
LINTOMEN,1,0.0016,,8,NEMOTNIL,N,E,M,O,T,N,I,L,,,,,,,,
LINK,1,0.0016,,4,KNIL,K,N,I,L,,,,,,,,,,,,
LINHEIRA,1,0.0016,,8,ARIEHNIL,A,R,I,E,H,N,I,L,,,,,,,,
LINHATTI,1,0.0016,,8,ITTAHNIL,I,T,T,A,H,N,I,L,,,,,,,,
LINGERFELT,1,0.0016,,10,TLEFREGNIL,T,L,E,F,R,E,G,N,I,L,,,,,,
LINEIRA,1,0.0016,,7,ARIENIL,A,R,I,E,N,I,L,,,,,,,,,
LINDQUIST,1,0.0016,,9,TSIUQDNIL,T,S,I,U,Q,D,N,I,L,,,,,,,
LINDNER,1,0.0016,,7,RENDNIL,R,E,N,D,N,I,L,,,,,,,,,
LINDGREN,1,0.0016,,8,NERGDNIL,N,E,R,G,D,N,I,L,,,,,,,,
LINDENMEYER,1,0.0016,DE,11,REYEMNEDNIL,R,E,Y,E,M,N,E,D,N,I,L,,,,,
LOEBEL,1,0.0016,,6,LEBEOL,L,E,B,E,O,L,,,,,,,,,,
LOEBENS,1,0.0016,,7,SNEBEOL,S,N,E,B,E,O,L,,,,,,,,,
LOEBLIN,1,0.0016,,7,NILBEOL,N,I,L,B,E,O,L,,,,,,,,,
LORDAO,1,0.0016,,6,OADROL,O,A,D,R,O,L,,,,,,,,,,
LOTH,1,0.0016,,4,HTOL,H,T,O,L,,,,,,,,,,,,
LOSSO,1,0.0016,,5,OSSOL,O,S,S,O,L,,,,,,,,,,,
LOSCIO,1,0.0016,,6,OICSOL,O,I,C,S,O,L,,,,,,,,,,
LORO,1,0.0016,,4,OROL,O,R,O,L,,,,,,,,,,,,
LORETO,1,0.0016,,6,OTEROL,O,T,E,R,O,L,,,,,,,,,,
LORENZONI,1,0.0016,IT,9,INOZNEROL,I,N,O,Z,N,E,R,O,L,,,,,,,
LORENCI,1,0.0016,,7,ICNEROL,I,C,N,E,R,O,L,,,,,,,,,
LOREDO,1,0.0016,,6,ODEROL,O,D,E,R,O,L,,,,,,,,,,
LORDELO,1,0.0016,,7,OLEDROL,O,L,E,D,R,O,L,,,,,,,,,
LORDELLO,1,0.0016,IT,8,OLLEDROL,O,L,L,E,D,R,O,L,,,,,,,,
LORDARO,1,0.0016,,7,ORADROL,O,R,A,D,R,O,L,,,,,,,,,
LOPEZ,1,0.0016,ES,5,ZEPOL,Z,E,P,O,L,,,,,,,,,,,
LOES,1,0.0016,,4,SEOL,S,E,O,L,,,,,,,,,,,,
LONGHI,1,0.0016,,6,IHGNOL,I,H,G,N,O,L,,,,,,,,,,
LONGA,1,0.0016,,5,AGNOL,A,G,N,O,L,,,,,,,,,,,
LOMPARTE,1,0.0016,,8,ETRAPMOL,E,T,R,A,P,M,O,L,,,,,,,,
LOMONACO,1,0.0016,,8,OCANOMOL,O,C,A,N,O,M,O,L,,,,,,,,
LOMEU,1,0.0016,FR,5,UEMOL,U,E,M,O,L,,,,,,,,,,,
LOMELINO,1,0.0016,,8,ONILEMOL,O,N,I,L,E,M,O,L,,,,,,,,
LOMANTO,1,0.0016,,7,OTNAMOL,O,T,N,A,M,O,L,,,,,,,,,
LOLI,1,0.0016,,4,ILOL,I,L,O,L,,,,,,,,,,,,
LOJA,1,0.0016,,4,AJOL,A,J,O,L,,,,,,,,,,,,
LOGRADO,1,0.0016,,7,ODARGOL,O,D,A,R,G,O,L,,,,,,,,,
LOFF,1,0.0016,,4,FFOL,F,F,O,L,,,,,,,,,,,,
HOLZMANN,1,0.0016,DE,8,NNAMZLOH,N,N,A,M,Z,L,O,H,,,,,,,,
HOLTZ,1,0.0016,,5,ZTLOH,Z,T,L,O,H,,,,,,,,,,,
HOLLNAGEL,1,0.0016,,9,LEGANLLOH,L,E,G,A,N,L,L,O,H,,,,,,,
FOSCHI,1,0.0016,,6,IHCSOF,I,H,C,S,O,F,,,,,,,,,,
FOSCH,1,0.0016,,5,HCSOF,H,C,S,O,F,,,,,,,,,,,
FORZANI,1,0.0016,,7,INAZROF,I,N,A,Z,R,O,F,,,,,,,,,
FORTE,1,0.0016,,5,ETROF,E,T,R,O,F,,,,,,,,,,,
FORNELOS,1,0.0016,,8,SOLENROF,S,O,L,E,N,R,O,F,,,,,,,,
FORNACIARI,1,0.0016,,10,IRAICANROF,I,R,A,I,C,A,N,R,O,F,,,,,,
FORMIGOSA,1,0.0016,,9,ASOGIMROF,A,S,O,G,I,M,R,O,F,,,,,,,
FORMIGHERI,1,0.0016,,10,IREHGIMROF,I,R,E,H,G,I,M,R,O,F,,,,,,
FORMAGINI,1,0.0016,IT,9,INIGAMROF,I,N,I,G,A,M,R,O,F,,,,,,,
FORMA,1,0.0016,,5,AMROF,A,M,R,O,F,,,,,,,,,,,
FORLINI,1,0.0016,IT,7,INILROF,I,N,I,L,R,O,F,,,,,,,,,
FORLIN,1,0.0016,,6,NILROF,N,I,L,R,O,F,,,,,,,,,,
FORGIARINI,1,0.0016,IT,10,INIRAIGROF,I,N,I,R,A,I,G,R,O,F,,,,,,
