UNOME,QTDE,PERC,PAIS,LETRAS,REV,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15
LEAO,62,0.0970,,4,OAEL,O,A,E,L,,,,,,,,,,,,
REZENDE,62,0.0970,,7,EDNEZER,E,D,N,E,Z,E,R,,,,,,,,,
PESSOA,61,0.0954,,6,AOSSEP,A,O,S,S,E,P,,,,,,,,,,
PONTES,59,0.0923,,6,SETNOP,S,E,T,N,O,P,,,,,,,,,,
SIMOES,59,0.0923,,6,SEOMIS,S,E,O,M,I,S,,,,,,,,,,
SANTIAGO,58,0.0907,,8,OGAITNAS,O,G,A,I,T,N,A,S,,,,,,,,
PORTO,57,0.0892,,5,OTROP,O,T,R,O,P,,,,,,,,,,,
DUTRA,57,0.0892,,5,ARTUD,A,R,T,U,D,,,,,,,,,,,
GALVAO,56,0.0876,,6,OAVLAG,O,A,V,L,A,G,,,,,,,,,,
MUNIZ,56,0.0876,,5,ZINUM,Z,I,N,U,M,,,,,,,,,,,
FRANCO,56,0.0876,,6,OCNARF,O,C,N,A,R,F,,,,,,,,,,
LIRA,56,0.0876,,4,ARIL,A,R,I,L,,,,,,,,,,,,
AQUINO,55,0.0861,,6,ONIUQA,O,N,I,U,Q,A,,,,,,,,,,
RANGEL,55,0.0861,,6,LEGNAR,L,E,G,N,A,R,,,,,,,,,,
FURTADO,52,0.0814,,7,ODATRUF,O,D,A,T,R,U,F,,,,,,,,,
PINHO,50,0.0782,,5,OHNIP,O,H,N,I,P,,,,,,,,,,,
FEITOSA,50,0.0782,,7,ASOTIEF,A,S,O,T,I,E,F,,,,,,,,,
COUTO,50,0.0782,,5,OTUOC,O,T,U,O,C,,,,,,,,,,,
ALCANTARA,49,0.0767,,9,ARATNACLA,A,R,A,T,N,A,C,L,A,,,,,,,
TRINDADE,48,0.0751,,8,EDADNIRT,E,D,A,D,N,I,R,T,,,,,,,,
LOBO,47,0.0735,,4,OBOL,O,B,O,L,,,,,,,,,,,,
VALE,47,0.0735,,4,ELAV,E,L,A,V,,,,,,,,,,,,
MOTTA,47,0.0735,,5,ATTOM,A,T,T,O,M,,,,,,,,,,,
GAMA,46,0.0720,,4,AMAG,A,M,A,G,,,,,,,,,,,,
LOURENCO,46,0.0720,,8,OCNERUOL,O,C,N,E,R,U,O,L,,,,,,,,
REGO,45,0.0704,,4,OGER,O,G,E,R,,,,,,,,,,,,
SENA,45,0.0704,,4,ANES,A,N,E,S,,,,,,,,,,,,
CERQUEIRA,45,0.0704,,9,ARIEUQREC,A,R,I,E,U,Q,R,E,C,,,,,,,
NOBREGA,43,0.0673,,7,AGERBON,A,G,E,R,B,O,N,,,,,,,,,
VIANNA,43,0.0673,,6,ANNAIV,A,N,N,A,I,V,,,,,,,,,,
ANTUNES,43,0.0673,,7,SENUTNA,S,E,N,U,T,N,A,,,,,,,,,
FONTES,42,0.0657,,6,SETNOF,S,E,T,N,O,F,,,,,,,,,,
RAMALHO,41,0.0641,,7,OHLAMAR,O,H,L,A,M,A,R,,,,,,,,,
FLORES,41,0.0641,,6,SEROLF,S,E,R,O,L,F,,,,,,,,,,
FERRAZ,41,0.0641,,6,ZARREF,Z,A,R,R,E,F,,,,,,,,,,
CAETANO,41,0.0641,,7,ONATEAC,O,N,A,T,E,A,C,,,,,,,,,
LISBOA,40,0.0626,,6,AOBSIL,A,O,B,S,I,L,,,,,,,,,,
HOLANDA,40,0.0626,,7,ADNALOH,A,D,N,A,L,O,H,,,,,,,,,
VIDAL,40,0.0626,,5,LADIV,L,A,D,I,V,,,,,,,,,,,
ARAGAO,40,0.0626,,6,OAGARA,O,A,G,A,R,A,,,,,,,,,,
SARAIVA,40,0.0626,,7,AVIARAS,A,V,I,A,R,A,S,,,,,,,,,
GUERRA,40,0.0626,,6,ARREUG,A,R,R,E,U,G,,,,,,,,,,
RABELO,40,0.0626,,6,OLEBAR,O,L,E,B,A,R,,,,,,,,,,
PAZ,39,0.0610,,3,ZAP,Z,A,P,,,,,,,,,,,,,
CALDAS,39,0.0610,,6,SADLAC,S,A,D,L,A,C,,,,,,,,,,
BRASIL,38,0.0595,,6,LISARB,L,I,S,A,R,B,,,,,,,,,,
VELOSO,38,0.0595,,6,OSOLEV,O,S,O,L,E,V,,,,,,,,,,
VARGAS,38,0.0595,,6,SAGRAV,S,A,G,R,A,V,,,,,,,,,,
DAMASCENO,38,0.0595,,9,ONECSAMAD,O,N,E,C,S,A,M,A,D,,,,,,,
VAZ,37,0.0579,,3,ZAV,Z,A,V,,,,,,,,,,,,,
PERES,37,0.0579,,5,SEREP,S,E,R,E,P,,,,,,,,,,,
SERRA,37,0.0579,,5,ARRES,A,R,R,E,S,,,,,,,,,,,
BRANCO,37,0.0579,,6,OCNARB,O,C,N,A,R,B,,,,,,,,,,
RESENDE,37,0.0579,,7,EDNESER,E,D,N,E,S,E,R,,,,,,,,,
TELES,37,0.0579,,5,SELET,S,E,L,E,T,,,,,,,,,,,
BITTENCOURT,36,0.0563,,11,TRUOCNETTIB,T,R,U,O,C,N,E,T,T,I,B,,,,,
VASCONCELLOS,35,0.0548,,12,SOLLECNOCSAV,S,O,L,L,E,C,N,O,C,S,A,V,,,,
FELIX,35,0.0548,,5,XILEF,X,I,L,E,F,,,,,,,,,,,
BARROSO,35,0.0548,,7,OSORRAB,O,S,O,R,R,A,B,,,,,,,,,
FALCAO,34,0.0532,,6,OACLAF,O,A,C,L,A,F,,,,,,,,,,
BANDEIRA,34,0.0532,,8,ARIEDNAB,A,R,I,E,D,N,A,B,,,,,,,,
AVILA,34,0.0532,,5,ALIVA,A,L,I,V,A,,,,,,,,,,,
FAGUNDES,34,0.0532,,8,SEDNUGAF,S,E,D,N,U,G,A,F,,,,,,,,
BOTELHO,34,0.0532,,7,OHLETOB,O,H,L,E,T,O,B,,,,,,,,,
ASSUNCAO,34,0.0532,,8,OACNUSSA,O,A,C,N,U,S,S,A,,,,,,,,
DOMINGUES,34,0.0532,,9,SEUGNIMOD,S,E,U,G,N,I,M,O,D,,,,,,,
PENHA,32,0.0501,,5,AHNEP,A,H,N,E,P,,,,,,,,,,,
VALENTE,32,0.0501,,7,ETNELAV,E,T,N,E,L,A,V,,,,,,,,,
MENESES,32,0.0501,,7,SESENEM,S,E,S,E,N,E,M,,,,,,,,,
ESTEVES,31,0.0485,,7,SEVETSE,S,E,V,E,T,S,E,,,,,,,,,
CAMARA,31,0.0485,,6,ARAMAC,A,R,A,M,A,C,,,,,,,,,,
LUCENA,31,0.0485,,6,ANECUL,A,N,E,C,U,L,,,,,,,,,,
