UNOME,QTDE,PERC
MEDRADO,5,0.0078
DURAES,5,0.0078
AROUCA,5,0.0078
AGRA,5,0.0078
FROES,5,0.0078
VILLAR,5,0.0078
MARIANI,5,0.0078
AMADO,5,0.0078
ALTOE,5,0.0078
ADORNO,5,0.0078
PERIN,5,0.0078
BOAVENTURA,5,0.0078
MADUREIRA,5,0.0078
SARGES,5,0.0078
ORNELAS,5,0.0078
FELIPPE,5,0.0078
ROMUALDO,5,0.0078
INACIO,5,0.0078
DIONISIO,5,0.0078
VILLELA,5,0.0078
FORTUNATO,5,0.0078
PATRICIO,5,0.0078
RAFAEL,5,0.0078
COHEN,5,0.0078
DIAZ,5,0.0078
HERNANDEZ,5,0.0078
MANSO,5,0.0078
HARTMANN,5,0.0078
FORMIGA,5,0.0078
CARVALHAL,5,0.0078
TAVEIRA,5,0.0078
PASIANI,5,0.0078
BERRIEL,5,0.0078
HERCULANO,5,0.0078
FONTENELLE,5,0.0078
AVELLAR,5,0.0078
MOUSINHO,5,0.0078
MANGUEIRA,5,0.0078
FIUZA,5,0.0078
ATHAYDE,5,0.0078
BENEDITO,5,0.0078
VALADAO,5,0.0078
SOEIRO,5,0.0078
BENETTI,5,0.0078
SIEBRA,5,0.0078
GRANJA,5,0.0078
BAHIA,5,0.0078
PAIM,5,0.0078
PAIS,5,0.0078
PEDREIRA,5,0.0078
LELIS,5,0.0078
CESARIO,5,0.0078
CANUTO,5,0.0078
MORETTI,5,0.0078
LAMARAO,5,0.0078
ESMERALDO,5,0.0078
PALHARES,5,0.0078
RAMIRES,5,0.0078
ALONSO,5,0.0078
BOECHAT,5,0.0078
ESTEVAO,5,0.0078
ITO,5,0.0078
MINEIRO,5,0.0078
SUZUKI,5,0.0078
MATTA,5,0.0078
VERDE,5,0.0078
TOSTA,5,0.0078
SANTIN,5,0.0078
CAMILLO,5,0.0078
GARRIDO,5,0.0078
POMPEU,5,0.0078
GOMEZ,5,0.0078
VENTURINI,5,0.0078
NARDI,5,0.0078
JOAQUIM,5,0.0078
ANASTACIO,5,0.0078
JANUARIO,5,0.0078
DORNELES,5,0.0078
MATSUMOTO,5,0.0078
MOITA,5,0.0078
PORTELLA,5,0.0078
JULIAO,5,0.0078
LUCCA,5,0.0078
NOLETO,5,0.0078
MIRA,5,0.0078
RICHTER,5,0.0078
LOURES,5,0.0078
JUSTO,5,0.0078
JUSTINO,5,0.0078
GENTIL,5,0.0078
DUAILIBE,5,0.0078
VERISSIMO,5,0.0078
FABRICIO,5,0.0078
ROSAS,5,0.0078
GODOI,5,0.0078
SCHERER,5,0.0078
CAVALHEIRO,5,0.0078
NATIVIDADE,5,0.0078
BERTO,5,0.0078
JACINTO,5,0.0078
DOREA,5,0.0078
LINDOSO,5,0.0078
CALIL,5,0.0078
VILACA,5,0.0078
MILANI,5,0.0078
PESTANA,5,0.0078
ARCANJO,5,0.0078
MILHOMEM,5,0.0078
GRANDE,5,0.0078
VELHO,5,0.0078
MORO,4,0.0063
VOLOTAO,4,0.0063
GAVA,4,0.0063
MONTELES,4,0.0063
FONTELES,4,0.0063
COSME,4,0.0063
MORGADO,4,0.0063
AMARANTE,4,0.0063
CRISTO,4,0.0063
MALUF,4,0.0063
HADDAD,4,0.0063
ZANATTA,4,0.0063
FRANCESCHINI,4,0.0063
MORORO,4,0.0063
ALMADA,4,0.0063
BRAUNA,4,0.0063
PORTES,4,0.0063
AMAZONAS,4,0.0063
CARUSO,4,0.0063
TRIGUEIRO,4,0.0063
GERMANO,4,0.0063
POVOA,4,0.0063
ALECRIM,4,0.0063
GIMENEZ,4,0.0063
ARCOVERDE,4,0.0063
GIORDANO,4,0.0063
PARREIRA,4,0.0063
PASCHOAL,4,0.0063
PASCOAL,4,0.0063
BRANT,4,0.0063
SETUBAL,4,0.0063
TORQUATO,4,0.0063
MILANEZ,4,0.0063
ANUNCIACAO,4,0.0063
MOSER,4,0.0063
GRECO,4,0.0063
ROOS,4,0.0063
PENTEADO,4,0.0063
GRACIANO,4,0.0063
VULCAO,4,0.0063
APARECIDO,4,0.0063
ARRAIS,4,0.0063
PONCIANO,4,0.0063
BARREIRO,4,0.0063
BONA,4,0.0063
PEDROZA,4,0.0063
PORFIRIO,4,0.0063
LOBAO,4,0.0063
PEDROZO,4,0.0063
FRIAS,4,0.0063
LENZI,4,0.0063
TOBIAS,4,0.0063
YAMASHITA,4,0.0063
EMERENCIANO,4,0.0063
CESTARI,4,0.0063
CARLINI,4,0.0063
TRAVASSOS,4,0.0063
ROMANO,4,0.0063
MAIOR,4,0.0063
BRESSAN,4,0.0063
LEONCIO,4,0.0063
SCHREIBER,4,0.0063
CONRADO,4,0.0063
MEYER,4,0.0063
ANDRADA,4,0.0063
MOLINA,4,0.0063
BICALHO,4,0.0063
GRACA,4,0.0063
LEE,4,0.0063
MOL,4,0.0063
ENCARNACAO,4,0.0063
PUGAS,4,0.0063
FREDERICO,4,0.0063
THEODORO,4,0.0063
GUILHERMINO,4,0.0063
CEZARIO,4,0.0063
GROSSI,4,0.0063
GALLO,4,0.0063
APOLINARIO,4,0.0063
GOMIDES,4,0.0063
GONCALO,4,0.0063
SPINELLI,4,0.0063
PRESTES,4,0.0063
MAIER,4,0.0063
WESTPHAL,4,0.0063
SERRAO,4,0.0063
ZANINI,4,0.0063
